Experiment;1;t;x;y;2;t;x;y;3;;;;
;;946.42712;0.0061;0.0268;;1046.633511;0.129748398;0.073175283;;;;;
;;949.75961;0.00865;0.0271;;1049.999322;0.129600843;0.073170521;;;;;
;;953.0921;0.0088;0.0271;;1053.331856;0.129933465;0.073179458;;;;;
;;956.42459;0.00871;0.0271;;1056.664322;0.130105699;0.0733155;;;;;
;;959.75708;0.00864;0.0273;;1059.9968;0.130132514;0.073297495;;;;;
;;963.08957;0.00848;0.0273;;1063.362589;0.12943519;0.073658416;;;;;
;;966.42206;0.00861;0.0274;;1066.695078;0.130023425;0.073676334;;;;;
;;969.75455;0.00791;0.0274;;1070.0609;0.129879525;0.073673032;;;;;
;;973.08704;0.00638;0.0274;;1073.393378;0.12864027;0.073973378;;;;;
;;976.41953;0.0089;0.0277;;1076.725956;0.128731029;0.074084915;;;;;
;;979.75202;0.0087;0.0277;;1080.058322;0.129037918;0.074120164;;;;;
;;983.08451;0.00898;0.0278;;1083.390822;0.129604772;0.07402922;;;;;
;;986.417;0.0088;0.028;;1086.723311;0.128961058;0.074360874;;;;;
;;989.74949;0.00758;0.0281;;1090.0558;0.129079294;0.074471376;;;;;
;;993.08198;0.00876;0.028;;1093.3883;0.127608217;0.075138552;;;;;
;;996.41447;0.00898;0.0281;;1096.720767;0.130980248;0.074611092;;;;;
;;999.74696;0.0086;0.0282;;1100.053244;0.129953195;0.074904612;;;;;
;;1003.07945;0.00948;0.0283;;1103.385744;0.131399356;0.074840605;;;;;
;;1006.41194;0.00947;0.0283;;1106.718344;0.131045856;0.074969624;;;;;
;;1009.74443;0.00831;0.0284;;1110.050733;0.131175031;0.075070038;;;;;
;;1013.07692;0.00912;0.0283;;1113.3832;0.131387008;0.075122156;;;;;
;;1016.40941;0.00839;0.0287;;1116.715711;0.131245522;0.075069636;;;;;
;;1019.7419;0.00836;0.0287;;1120.048178;0.13122528;0.075093098;;;;;
;;1023.07439;0.00952;0.0285;;1123.380633;0.131274049;0.075110131;;;;;
;;1026.40688;0.00836;0.0287;;1126.713133;0.131289705;0.075122493;;;;;
